ranking,"series name ",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
294,Vikings,(2013–2020),12,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,"513,197"
295,RuPaul's Drag Race All Stars,(2012– ),,60 min,"Game-Show, Reality-TV",8.5,New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.,RuPaul,Michelle Visage,Carson Kressley,Ross Mathews,"8,165"
296,Hannibal,(2013–2015),18,44 min,"Crime, Drama, Horror",8.5,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,"249,702"
297,Please Like Me,(2013–2016),15,29 min,"Comedy, Drama, Romance",8.5,"Twenty something Josh is going through a number of big changes as he navigates his first decade of adulthood. After being dumped by his girlfriend, he comes to the realization that he is gay.",Josh Thomas,Thomas Ward,John,Debra Lawrance,"17,780"
298,Der Tatortreiniger,(2011–2018),,26 min,"Comedy, Crime",8.5,"The bizarre everyday adventures of Heiko ""Schotty"" Schotte, whose profession is to clean up crime scenes.",Bjarne Mädel,Peer Martiny,Jörg Pose,Jule Böwe,"7,051"
299,Cyber Vaar,(2022– ),UA 16+,24 min,"Crime, Mystery, Thriller",8.5,Cyber Vaar-Har Screen Crime Scene sheds light on the rising threat of cybercrime looming over Mumbai. ACP Akash Malik along with Cyber Expert Ananya Saini and team T.R.A.C.E. get on the quest to wipe out cybercrimes from the city.,Mohit Malik,Sanaya Irani,Amitabh Krishna Ghanekar,Neha Khan,"11,549"
300,Call the Midwife,(2012– ),12,60 min,"Drama, History",8.5,Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.,Vanessa Redgrave,Laura Main,Jenny Agutter,Stephen McGann,"26,003"
301,Person of Interest,(2011–2016),15,43 min,"Action, Crime, Drama",,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.",Jim Caviezel,Taraji P. Henson,Kevin Chapman,Michael Emerson,"173,785"
302,The Being Frank Show,(2010– ),,,Talk-Show,,"Variety show hosted by Frank D'Angelo with celebrity interviews, comedy bits and much more.",Frank D'Angelo,Glen Foster,Steven Joel Kerzner,Bai Ling,"6,717"
303,Dag,(2010–2015),,23 min,"Comedy, Drama",,"Dag' is a Norwegian comedy series about a marriage counselor who thinks people should live in solitude. He hates spending time with other people--except his friend Benedict, who is ...                 »",Atle Antonsen,Tuva Novotny,Anders Baasmo,Agnes Kittelsen,"5,013"
304,Regular Show,(2009–2017),U,23 min,"Animation, Action, Adventure",,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,"41,830"
305,Suits,(2011–2019),15,44 min,"Comedy, Drama",,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty,"398,889"
306,Love/Hate,(2010–2014),18,51 min,"Crime, Drama",,"The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.",Tom Vaughan-Lawlor,Killian Scott,Aoibhinn McGinnity,Charlie Murphy,"6,789"
307,Rake,(2010–2018),15,60 min,"Comedy, Drama",,"Criminal lawyer Cleaver Greene defends the indefensible--from bigamists to cannibals and everyone in between. He is champion of the lost cause, both in the courtroom and in the bedroom.",Richard Roxburgh,Matt Day,Kate Box,Caroline Brazier,"7,858"
308,Borgen,(2010–2022),15,58 min,Drama,,"A political drama about a prime minister's rise to power, and how power changes a prime minister.",Sidse Babett Knudsen,Birgitte Hjort Sørensen,Søren Malling,Lisbeth Wulff,"24,954"
309,Louie,(2010–2015),15,22 min,"Comedy, Drama",,"The life of Louie C.K., a divorced comedian living in New York with two kids.",Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,"78,342"
310,The Seashore Village Chachacha,(2021– ),15,70 min,"Comedy, Romance",,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",Shin Min-a,Kim Seon-Ho,Gina Su,Ren Hanami,"10,694"
311,Spartacus,(2010–2013),18,55 min,"Action, Adventure, Biography",,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,"238,242"
312,Modern Family,(2009–2020),12,22 min,"Comedy, Drama, Romance",,Three different but related families face trials and tribulations in their own uniquely comedic ways.,Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrell,"413,702"
313,Community,(2009–2015),12,22 min,Comedy,,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,"255,546"
314,RuPaul's Drag Race,(2009– ),15,63 min,"Game-Show, Reality-TV",,RuPaul searches for America's next drag superstar.,RuPaul,Michelle Visage,Santino Rice,Ross Mathews,"19,610"
315,Southland,(2009–2013),,42 min,"Crime, Drama, Thriller",,The lives of Police Officers working for the Los Angeles Police Department.,Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,"26,373"
316,Romanzo Criminale,(2008–2010),,,"Crime, Drama, Thriller",,A criminal known as Lebanese has a dream: to conquer the underworld of Rome. To carry out this feat without precedent he puts together a ruthless and highly organized gang. Their progress ...                 »,Vinicio Marchioni,Alessandro Roja,Marco Bocci,Daniela Virgilio,"6,188"
317,Staged,(2020–2021),15,22 min,"Comedy, Drama",,"David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online.",David Tennant,Michael Sheen,Georgia Tennant,Anna Lundberg,"6,413"
318,The Angry Video Game Nerd,(2004– ),15,35 min,Comedy,,A foul-mouthed nerd reviews bad video games.,James Rolfe,Mike Matei,Kyle Justin,Antonio Piluso,"15,007"
319,Smiling Friends,(2020– ),,12 min,"Animation, Short, Comedy",,Follows employees of a small company dedicated to bringing happiness to a bizarre yet colorful world.,Michael Cusack,Zach Hadel,Marc M.,Mick Lauer,"7,287"
320,Hostel Daze,(2019– ),15,159 min,"Comedy, Drama",,Through the adventures of four friends 'Hostel Daze' captures what goes inside an engineering hostel in India.,Adarsh Gourav,Nikhil Vijay,Shubham Gaur,Luv Vispute,"15,652"
321,Ethos,-2020,15,50 min,"Drama, Thriller",,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,"26,444"
322,All Creatures Great and Small,(2020– ),12,,"Comedy, Drama",,The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.,Nicholas Ralph,Anna Madeley,Samuel West,Rachel Shenton,"10,434"
323,The Whitest Kids U'Know,(2007–2011),,15 min,Comedy,,A sketch comedy show involving five friends.,Timmy Williams,Trevor Moore,Sam Brown,Zach Cregger,"5,172"
324,Mushi-Shi,(2005–2006),PG,25 min,"Animation, Drama, Fantasy",,"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.",Yûto Nakano,Travis Willingham,Kôjun Itô,Jennifer Seman,"13,303"
325,Shabhaye Barareh,(2005–2006),,60 min,Comedy,,Set in late 40s in Iran. When a politically exiled man (Ansari) meets strange rural people with weird actions and accents in a village called Barareh.,Mehran Modiri,Siamak Ansari,Falamak Jonidi,Saeed Pirdust,"14,796"
326,The IT Crowd,(2006–2013),15,25 min,Comedy,,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,"148,846"
327,Spiral,(2005–2020),18,52 min,"Crime, Drama, Mystery",,Follows criminal investigations in Paris from all the different points of view of those involved.,Caroline Proust,Audrey Fleurot,Thierry Godard,Philippe Duclos,"6,089"
328,Anthony Bourdain: No Reservations,(2005–2012),,60 min,"Adventure, Reality-TV",,"Anthony Bourdain, chef, writer, traveler, visits places all around the world sampling various foods.",Anthony Bourdain,Tom Vitale,Zamir Gotta,Todd Liebler,"7,165"
329,Supernatural,(2005–2020),15,44 min,"Drama, Fantasy, Horror",,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collins,"431,843"
330,Klovn,(2005–2021),,25 min,Comedy,,"The socially awkward misadventures of Frank Hvam, his girlfriend Mia and his best friend Casper.",Frank Hvam,Casper Christensen,Mia Lyhne,Iben Hjejle,"5,436"
331,Fullmetal Alchemist,(2003–2004),15,24 min,"Animation, Action, Adventure",,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,"69,466"
332,Boston Legal,(2004–2008),15,44 min,"Comedy, Crime, Drama",,"Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt.",James Spader,William Shatner,Candice Bergen,Rene Auberjonois,"45,904"
333,Entourage,(2004–2011),15,28 min,"Comedy, Drama",,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,Kevin Connolly,Adrian Grenier,Kevin Dillon,Jerry Ferrara,"167,309"
334,The Boondocks,(2005–2014),15,22 min,"Animation, Action, Comedy",,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.",Regina King,John Witherspoon,Gary Anthony Williams,Cedric Yarbrough,"30,266"
335,Kôkaku kidôtai: Stand Alone Complex,(2002–2005),15,24 min,"Animation, Action, Crime",,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,Shirô Saitô,Atsuko Tanaka,Osamu Saka,Mary Elizabeth McGlynn,"19,595"
336,Great Teacher Onizuka,(1999–2000),18,24 min,"Animation, Comedy, Drama",,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.",Steve Blum,Kirk Thornton,Jun'ichi Suwabe,Wataru Takagi,"9,018"
337,Foyle's War,(2002–2015),15,90 min,"Crime, Drama, Mystery",,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,"15,131"
338,Sweet Life,(2001–2004),,58 min,"Comedy, Family",,"A Turkish remake of 'The Jeffersons'?: Ihsan Yildirim's cleaning business is booming, so he insists that his family leave the 'plain folks' and move up to Etiler with the 'fancy folks.' ...                 »",Türkan Soray,Haluk Bilginer,Çolpan Ilhan,Neco,"7,437"
339,The Office,(2001–2003),15,30 min,"Comedy, Drama",,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,"110,747"
340,Samurai Jack,(2001–2017),15,25 min,"Animation, Action, Adventure",,"A samurai, sent through time, fights to return home and save the world.",Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,"52,218"
341,Black Books,(2000–2004),15,25 min,Comedy,,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,"58,265"
342,Yu Yu Hakusho,(1992–1995),U,24 min,"Animation, Action, Adventure",,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                 »",Nozomu Sasaki,Justin Cook,Christopher Sabat,Cynthia Cranz,"13,422"
343,Samurai X,(1996–1999),,24 min,"Animation, Action, Adventure",,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,Mayo Suzukaze,Dorothy Elias-Fahn,Richard Cansino,Rebecca Forstadt,"19,228"
344,Whose Line Is It Anyway?,(1998–2007),12,30 min,"Comedy, Game-Show",,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,"43,182"
345,Futurama,(1999–2023),U,22 min,"Animation, Adventure, Comedy",,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,"232,192"
346,Meitantei Conan,(1996– ),12,25 min,"Animation, Action, Comedy",,The cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.,Minami Takayama,Wakana Yamazaki,Hoang Khuyet,Akira Kamiya,"12,911"
347,Neon Genesis Evangelion,(1995–1996),12,24 min,"Animation, Action, Drama",,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,"65,922"
348,Cracker,(1993–1996),18,100 min,"Crime, Drama, Mystery",,"Dr Edward ""Fitz"" Fitzgerald is a criminal psychologist. He is rather anti-social and obnoxious but he has a gift for solving crimes. Thus he is employed as a consultant by the Manchester Police.",Robbie Coltrane,Geraldine Somerville,Kieran O'Brien,Barbara Flynn,"6,530"
